Coordinates, of fracture, traces, 
, x1, y1, x2, y2, 
234, 27.703, 71.184, 24.984, 67.559, 
235, 26.644, 76.492, 11.028, 75.838, 
236, 15.912, 51.557, 9.913, 45.833, 
237, 37.587, 37.297, 35.639, 36.759, 
238, 45.919, 58.841, 40.931, 42.877, 
239, 41.919, 23.902, 58.084, 44.691, 
240, 57.462, 40.884, 38.757, 1.049, 
241, 79.6, 79.701, 53.021, 56.638, 
242, 9.696, 11.033, 10.348, 6.784, 
243, 87.868, 23.636, 89.445, 18.242, 
244, 61.598, 56.881, 53.029, 53.34, 
245, 73.438, 50.205, 68.967, 57.421, 
246, 88.645, 91.364, 82.02, 81.914, 
247, 55.019, 100, 24.543, 91.764, 
248, 100, 54.238, 98.007, 47.385, 
249, 21.123, 93.427, 15.701, 76.909, 
250, 24.308, 73.943, 11.71, 68.609, 
251, 54.023, 45.286, 51.455, 44.097, 
252, 34.07, 31.616, 24.898, 36.605, 
253, 71.525, 76.616, 69.068, 83.887, 
254, 44.269, 14.418, 33.254, 18.401, 
255, 28.837, 77.172, 9.122, 61.828, 
256, 99.386, 58.775, 98.368, 43.438, 
257, 79.092, 17.128, 68.679, 13.958, 
258, 68.067, 27.081, 62.754, 26.485, 
259, 90.62, 58.01, 15.902, 64.998, 
260, 71.108, 42.059, 59.462, 45.468, 
261, 74.09, 18.423, 51.597, 21.831, 
262, 22.014, 6.776, 18.936, 4.253, 
263, 33.263, 23.289, 34.884, 19.791, 
264, 16.2, 75.278, 18.206, 71.821, 
265, 85.019, 31.039, 58.834, 33.605, 
266, 80.024, 67.078, 42.514, 60.745, 
267, 79.289, 45.289, 76.545, 52.614, 
268, 13.942, 0, 3.562, 36.572, 
269, 63.028, 22.741, 64.82, 14.919, 
270, 27.359, 96.994, 17.515, 90.408, 
271, 30.631, 100, 8.033, 77.696, 
272, 16.578, 3.932, 14.843, 0, 
273, 69.887, 57.022, 68.356, 55.738, 
274, 72.293, 2.603, 69.869, 1.011, 
275, 24.317, 60.631, 20.465, 60.509, 
276, 86.025, 56.702, 77.06, 55.698, 
277, 37.761, 83.297, 36.735, 68.411, 
278, 74.758, 8.436, 73.837, 6.811, 
279, 58.12, 2.922, 56.58, 1.009, 
280, 8.082, 60.681, 7.892, 52.506, 
281, 5.628, 69.858, 0, 68.467, 
282, 84.589, 4.452, 73.98, 1.096, 
283, 56.975, 56.837, 48.809, 19.929, 
284, 34.288, 83.22, 28.824, 79.871, 
285, 56.454, 59.128, 58.863, 55.445, 
286, 0, 76.299, 18.56, 67.098, 
287, 14.486, 68.081, 12.633, 66.951, 
288, 26.61, 13.986, 23.788, 14.354, 
289, 49.08, 21.674, 49.342, 26.514, 
290, 60.997, 92.59, 42.534, 76.989, 
291, 69.561, 28.427, 67.693, 22.35, 
292, 5.06, 11.036, 13.592, 4.303, 
293, 79.221, 11.933, 68.055, 4.705, 
294, 8.379, 35.052, 11.226, 22.805, 
295, 34.27, 12.821, 26.273, 10.721, 
296, 76.106, 14.518, 75.223, 13.156, 
297, 96.186, 61.385, 93.194, 61.153, 
298, 98.287, 36.864, 98.429, 31.101, 
299, 72.338, 81.506, 56.285, 74.608, 
300, 36.332, 85.194, 10.777, 62.967, 
301, 82.687, 79.996, 56.892, 51.514, 
302, 2.704, 36.989, 4.767, 36.414, 
303, 78.546, 83.264, 68.229, 72.02, 
304, 6.685, 76.306, 10.93, 69.56, 
305, 100, 13.156, 75.035, 24.04, 
306, 38.573, 77.776, 34.41, 0, 
307, 100, 80.056, 81.506, 76.982, 
308, 3.45, 55.792, 6.584, 52.348, 
309, 33.714, 72.644, 25.004, 68.327, 
310, 98.654, 93.941, 87.625, 98.087, 
311, 95.507, 35.278, 100, 43.95, 
312, 85.252, 100, 67.808, 97.401, 
313, 23.389, 62.784, 5.75, 19.53, 
314, 51.082, 92.623, 44.722, 95.933, 
315, 28.942, 52.138, 24.954, 45.173, 
316, 68.094, 68.835, 70.033, 65.599, 
317, 96.863, 81.423, 96.582, 78.592, 
318, 34.654, 55.213, 32.621, 55.966, 
319, 45.301, 13.05, 0, 21.544, 
320, 100, 1.39, 97.758, 4.564, 
321, 42.123, 3.93, 44.58, 0.055, 
322, 51.082, 37.197, 54.408, 24.743, 
323, 26.11, 66.175, 20.626, 52.652, 
324, 77.181, 100, 79.055, 83.636, 
325, 42.398, 81.193, 37.377, 80.659, 
326, 93.751, 27.893, 93.376, 24.282, 
327, 38.893, 91.781, 29.377, 92.795, 
